title,sponsor,status,date,url,source,category,summary,created_at
"The Advocates (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20ADVOCATES%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Advocates (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.486649
"The Micro And Small Enterprise (amendment) Bill, 2025 (national Assembly Bills No. 25).",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20MICRO%20AND%20SMALL%20ENTERPRISE%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2025%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Micro And Small Enterprise (amendment) Bill, 2025 (national Assembly Bills No. 25).. Source: National Assembly Bills.",2026-02-11T00:05:45.487762
"The Capital Markets (amendment) Bill, 2025 (national Assembly Bills No. 30).",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20CAPITAL%20MARKETS%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2030%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Capital Markets (amendment) Bill, 2025 (national Assembly Bills No. 30).. Source: National Assembly Bills.",2026-02-11T00:05:45.488868
"The Constitution Of Kenya (amendment) Bill, 2025 (national Assembly Bills No. 29).",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20CONSTITUTION%20OF%20KENYA%20%28AMENDMENT%29%20BILL%2C%202025%20%28NATIONAL%20ASSEMBLY%20BILLS%20NO.%2029%29.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Constitution Of Kenya (amendment) Bill, 2025 (national Assembly Bills No. 29).. Source: National Assembly Bills.",2026-02-11T00:05:45.490030
"The Kenya Institute Of Primate Research Bill, 2024",National Assembly,Published,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-07/THE%20KENYA%20INSTITUTE%20OF%20PRIMATE%20RESEARCH%20BILL%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Institute Of Primate Research Bill, 2024. Source: National Assembly Bills.",2026-02-11T00:05:45.491139
"The Judges' Retirement Benefits Bill,2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20JUDGES%27%20RETIREMENT%20BENEFITS%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Judges' Retirement Benefits Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.492334
"The Appropriation Bill,2025",National Assembly,Appropriation,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20APPROPRIATION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Appropriation Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.493982
"The Equalisation Fund Appropriation Bill,2025",National Assembly,Appropriation,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20EQUALISATION%20FUND%20APPROPRIATION%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Equalisation Fund Appropriation Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.495110
"The Basic Education (amendment) Bill,2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20BASIC%20EDUCATION%20%28AMENDMENT%29%20BILL%2C2025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Basic Education (amendment) Bill,2025. Source: National Assembly Bills.",2026-02-11T00:05:45.496782
"The Health(amendment) Bill,2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20HEALTH%28AMENDMENT%29%20BILL%2C2024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Health(amendment) Bill,2024. Source: National Assembly Bills.",2026-02-11T00:05:45.497918
"The Health (amendment) Bill (no.2), 2024",National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-06/THE%20HEALTH%20%28AMENDMENT%29%20BILL%20%28No.2%29%2C%202024.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Health (amendment) Bill (no.2), 2024. Source: National Assembly Bills.",2026-02-11T00:05:45.499079
The County Assembly Services (amendment) Bill (senate Bill No. 34 Of 2023),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20County%20Assembly%20Services%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%2034%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Assembly Services (amendment) Bill (senate Bill No. 34 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:45.499588
"The Crops (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20Crops%20%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Crops (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:45.500698
"The Kenya Information And Communications (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20Kenya%20Information%20and%20Communications%20%28amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Information And Communications (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:45.501777
"The Public Finance Management (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20Public%20Finance%20Management%20%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Public Finance Management (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:45.502838
"The Provisional Collection Of Taxes And Duties (repeal) Bill, 2025",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20Provisional%20Collection%20of%20Taxes%20and%20Duties%20%28Repeal%29%20Bill%2C%202025_1.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Provisional Collection Of Taxes And Duties (repeal) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:52.392398
"The Provisional Collection Of Taxes And Duties (repeal) Bill, 2025.",National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/The%20Provisional%20Collection%20of%20Taxes%20and%20Duties%20%28Repeal%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Provisional Collection Of Taxes And Duties (repeal) Bill, 2025.. Source: National Assembly Bills.",2026-02-11T00:05:52.394867
The Finance Bill 2025,National Assembly,Published,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-05/THE%20FINANCE%20BILL%202025%20%28Compressed%20Copy%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Finance Bill 2025. Source: National Assembly Bills.,2026-02-11T00:05:52.396561
The Energy (amendment) Bill (senate Bill No. 42 Of 2023),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/The%20Energy%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%2042%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Energy (amendment) Bill (senate Bill No. 42 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.398864
The County Public Finance Laws (amendment) Bill (senate Bill No. 39 Of 2023),Senate,Amendment,2023-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/The%20County%20Public%20Finance%20Laws%20%28Amendment%29%20Bill%20%28Senate%20Bill%20No.%2039%20of%202023%29.pdf,National Assembly Bills,Legislative,Bill before Parliament: The County Public Finance Laws (amendment) Bill (senate Bill No. 39 Of 2023). Source: National Assembly Bills.,2026-02-11T00:05:52.400859
"The Kenya Roads (amendment)(no.2) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/The%20Kenya%20Roads%20%28Amendment%29%28No.2%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Kenya Roads (amendment)(no.2) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:52.401971
The Elections Offences (amendment) (no.2) Bill 2024,National Assembly,Amendment,2024-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/The%20Elections%20Offences%20%28Amendment%29%20%28No.2%29%20Bill%202024.pdf,National Assembly Bills,Legislative,Bill before Parliament: The Elections Offences (amendment) (no.2) Bill 2024. Source: National Assembly Bills.,2026-02-11T00:05:52.403968
"The Value Added Tax (amendment) Bill, 2025",National Assembly,Amendment,2025-01-01,https://www.parliament.go.ke/sites/default/files/2025-04/The%20Value%20Added%20Tax%20%28Amendment%29%20Bill%2C%202025.pdf,National Assembly Bills,Legislative,"Bill before Parliament: The Value Added Tax (amendment) Bill, 2025. Source: National Assembly Bills.",2026-02-11T00:05:52.406447
