Status,Facility,Facility_ward,Facility_constituency,Facility_subcounty,Facility_county,Name,Code,Date_established
Fully-functional,Holy Family Oriang Mission Dispensary,Kabondo East,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kodhoch East B Community Health Unit,703185,42565
Fully-functional,Got Kamondi Dispensary,Kabondo East,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Miriu B Community Health Unit,703184,42188
Fully-functional,Othoro Health Centre (Rachuonyo),Kabondo East,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Pala Community Health Unit,703183,42195
Fully-functional,Atela Health Centre,Kabondo East,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kodumo East Community Health Unit,703182,41823
Fully-functional,Omiro Dispensary,Kokwanyo/Kakelo,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kakello Kamroth B Community Health Unit,703181,42187
Fully-functional,Godber Health Centre,Kokwanyo/Kakelo,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kakello Dudi B Community Health Unit,703180,43286
Fully-functional,Tala Health Centre,Kokwanyo/Kakelo,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kokwanyo East Community Health Unit,703179,41822
Fully-functional,Kokwanyo Health Centre,Kokwanyo/Kakelo,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kokwanyo West Community Health Unit,703178,41821
Fully-functional,Harambee Health Centre,Kojwach,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kawere Community Health Unit,703177,41828
Fully-functional,Kimonge Health Centre,Kojwach,Kabondo Kasipul,Kabondo Kasipul,Homa Bay,Kojwach East Community Health Unit,703176,41673
Fully-functional,Ngolo Dispensary,North Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kokidi Community Health Unit,703175,40371
Fully-functional,Nyaoga Community Dispensary,North Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kokoth B West Community Health Unit,703174,40373
Fully-functional,Homa Hills Health Centre,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Rabuor Community Health Unit,703173,40737
Fully-functional,Homa Hills Health Centre,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kanyango Community Health Unit,703172,40877
Fully-functional,Homa Lime Health Centre,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Koguta Community Health Unit,703171,40877
Fully-functional,Ndere Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kanyadenda Community Health Unit,703170,40877
Fully-functional,Ndere Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kowuor Community Health Unit,703169,40877
Fully-functional,Okiki Amayo Health Centre,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kayoo East Community Health Unit,703167,40576
Fully-functional,Okiki Amayo Health Centre,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kayoo Central Community Health Unit,703166,40575
Fully-functional,Alum Beach Dispensary,West Karachuonyo,Karachuonyo,Karachuonyo,Homa Bay,Kayoo West Community Health Unit,703165,40709
