Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed
14527,GK Prisons Dispensary (Turkana Central),GK Prisons Dispensary (Turkana Central),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Turkana,Turkana Central,Turkana Central,Lodwar Township,Operational,No,No,No,No,,Yes,Yes,No
14528,GK Remand Prison Dispensary,GK Remand Prison Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Trans Nzoia,Saboti,Saboti,Matisi,Operational,No,No,No,No,,Yes,Yes,No
14517,GK Prison Dispensary (Athi River),GK Prison Dispensary (Athi River),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado East,Kajiado East,Oloosirkon/Sholinke,Operational,No,No,No,No,,Yes,Yes,No
14520,GK Prisons Dispensary (Kapenguria),GK Prisons Dispensary (Kapenguria),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,West Pokot,Kapenguria,West Pokot,Kapenguria,Operational,No,No,No,No,,Yes,Yes,No
14531,Gorgor Dispensary,Gorgor Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Bomet,Sotik,Sotik,Ndanai/Abosi,Operational,No,No,No,No,,Yes,Yes,No
14524,GK Prisons Dispensary (Ngeria),GK Prisons Dispensary (Ngeria),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Uasin Gishu,Kapseret,Kapseret,Ngeria,Operational,No,No,No,No,,Yes,Yes,No
14540,Gsu Dispensary (Kibish),GSU Dispensary (Kibish),None,Level 2,Dispensary,DISPENSARY,Armed Forces,Ministry of Health,Ministry of Health,0,0,0,Turkana,Turkana North,Kibish,Kibish,Operational,No,No,No,No,,Yes,Yes,No
14539,Gsu Dispensary (Kabarak),GSU Dispensary (Kabarak),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Rongai,Rongai,Menengai West,Operational,No,No,No,No,,Yes,Yes,No
14545,Hekima Dispensary,Hekima Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Nakuru,Nakuru Town East,Nakuru East,Kivumbuni,Operational,No,No,No,No,,Yes,Yes,No
14536,Grassland Dispensary,Grassland Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Trans Nzoia,Saboti,Saboti,Matisi,Operational,No,No,No,No,,Yes,Yes,No
14507,Getarwet Dispensary,Getarwet Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kericho,Bureti,Bureti,Chemosot,Operational,No,No,No,No,,Yes,Yes,No
14556,Icross Dispensary,Icross Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado West,Kajiado West,Keekonyokie,Operational,No,No,No,No,,Yes,Yes,No
14558,Igwamiti Dispensary,Igwamiti Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Subukia,Subukia,Waseges,Operational,No,No,No,No,,Yes,Yes,No
14561,Ilpolei Dispensary,Ilpolei Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,4,1,5,Laikipia,Laikipia North,Laikipia North,Mugogodo West,Operational,Yes,No,Yes,No,,Yes,Yes,No
14554,Huruma Mobile Clinic,Huruma Mobile Clinic,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Nakuru,Njoro,Njoro,Njoro,Operational,No,No,No,No,,Yes,Yes,No
14541,Gsu Field Dispensary (Kajiado),GSU Field Dispensary (Kajiado),None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Kajiado,Kajiado West,Kajiado West,Magadi,Operational,No,No,No,No,,Yes,Yes,No
14562,Ilaiser Dispensary,Ilaiser Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Narok,Narok East,Narok East,Ildamat,Operational,No,No,No,No,,Yes,Yes,No
14552,Huruma Dispensary,Huruma Dispensary,None,Level 2,Dispensary,DISPENSARY,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Nakuru,Njoro,Njoro,Njoro,Operational,No,No,No,No,,Yes,Yes,No
14568,Illinga'rua Dispensary,Illinga'rua Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Baringo,Baringo South,Marigat,Iichamus,Operational,No,No,No,No,,Yes,Yes,No
14570,Tingwa Dispensary,Tingwa Dispensary,None,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Kenya MPDB,0,0,0,Uasin Gishu,Ainabkoi,Ainabkoi,Ainabkoi/Olare,Operational,No,No,No,No,,Yes,Yes,No
14575,Industrial Area Dispensary,Industrial Area Dispensary,GK013138,Level 2,Dispensary,DISPENSARY,Ministry of Health,Ministry of Health,Ministry of Health,0,0,0,Nakuru,Nakuru Town East,Nakuru West,London,Operational,No,No,No,No,,Yes,Yes,No
